Energy (keV), Intensity
0.00, 0
0.01, 0
0.02, 0
0.03, 0
0.04, 0
0.05, 0
0.06, 0
0.07, 0
0.08, 7
0.09, 22
0.10, 44
0.11, 76
0.12, 132
0.13, 208
0.14, 293
0.15, 332
0.16, 372
0.17, 384
0.18, 472
0.19, 490
0.20, 588
0.21, 655
0.22, 789
0.23, 1112
0.24, 1754
0.25, 2772
0.26, 3985
0.27, 4965
0.28, 5324
0.29, 4802
0.30, 3638
0.31, 2472
0.32, 1594
0.33, 1066
0.34, 782
0.35, 691
0.36, 718
0.37, 740
0.38, 843
0.39, 878
0.40, 879
0.41, 800
0.42, 653
0.43, 537
0.44, 504
0.45, 538
0.46, 526
0.47, 624
0.48, 779
0.49, 965
0.50, 1224
0.51, 1478
0.52, 1711
0.53, 1712
0.54, 1594
0.55, 1231
0.56, 919
0.57, 689
0.58, 609
0.59, 537
0.60, 551
0.61, 574
0.62, 554
0.63, 548
0.64, 599
0.65, 611
0.66, 685
0.67, 768
0.68, 862
0.69, 1010
0.70, 1210
0.71, 1526
0.72, 1985
0.73, 2256
0.74, 2475
0.75, 2381
0.76, 2264
0.77, 1987
0.78, 1925
0.79, 2213
0.80, 3033
0.81, 4470
0.82, 6358
0.83, 8580
0.84, 10109
0.85, 10480
0.86, 9824
0.87, 8354
0.88, 6177
0.89, 4029
0.90, 2657
0.91, 1673
0.92, 1228
0.93, 963
0.94, 842
0.95, 809
0.96, 990
0.97, 1143
0.98, 1462
0.99, 1772
1.00, 2004
1.01, 2163
1.02, 2159
1.03, 2021
1.04, 1759
1.05, 1411
1.06, 1258
1.07, 924
1.08, 816
1.09, 758
1.10, 737
1.11, 757
1.12, 710
1.13, 734
1.14, 737
1.15, 735
1.16, 689
1.17, 729
1.18, 697
1.19, 745
1.20, 729
1.21, 791
1.22, 856
1.23, 898
1.24, 960
1.25, 966
1.26, 1056
1.27, 972
1.28, 935
1.29, 892
1.30, 875
1.31, 818
1.32, 835
1.33, 791
1.34, 774
1.35, 820
1.36, 770
1.37, 783
1.38, 836
1.39, 828
1.40, 833
1.41, 892
1.42, 817
1.43, 923
1.44, 1025
1.45, 1032
1.46, 1154
1.47, 1178
1.48, 1285
1.49, 1259
1.50, 1227
1.51, 1132
1.52, 1080
1.53, 1019
1.54, 903
1.55, 912
1.56, 862
1.57, 839
1.58, 833
1.59, 835
1.60, 798
1.61, 788
1.62, 790
1.63, 832
1.64, 777
1.65, 833
1.66, 828
1.67, 887
1.68, 936
1.69, 956
1.70, 998
1.71, 1093
1.72, 1197
1.73, 1233
1.74, 1232
1.75, 1192
1.76, 1097
1.77, 1106
1.78, 1007
1.79, 933
1.80, 920
1.81, 955
1.82, 915
1.83, 890
1.84, 891
1.85, 879
1.86, 849
1.87, 848
1.88, 800
1.89, 855
1.90, 869
1.91, 837
1.92, 844
1.93, 810
1.94, 797
1.95, 857
1.96, 811
1.97, 887
1.98, 887
1.99, 816
2.00, 847
2.01, 803
2.02, 852
2.03, 838
2.04, 820
2.05, 861
2.06, 839
2.07, 821
2.08, 838
2.09, 828
2.10, 816
2.11, 863
2.12, 877
2.13, 790
2.14, 815
2.15, 828
2.16, 841
2.17, 815
2.18, 829
2.19, 894
2.20, 868
2.21, 851
2.22, 860
2.23, 874
2.24, 852
2.25, 921
2.26, 912
2.27, 944
2.28, 993
2.29, 1012
2.30, 1065
2.31, 1062
2.32, 1069
2.33, 1075
2.34, 974
2.35, 1023
2.36, 900
2.37, 893
2.38, 873
2.39, 857
2.40, 853
2.41, 885
2.42, 825
2.43, 856
2.44, 860
2.45, 854
2.46, 891
2.47, 839
2.48, 788
2.49, 841
2.50, 833
2.51, 907
2.52, 859
2.53, 855
2.54, 860
2.55, 893
2.56, 918
2.57, 959
2.58, 990
2.59, 1046
2.60, 1105
2.61, 1212
2.62, 1297
2.63, 1344
2.64, 1417
2.65, 1360
2.66, 1294
2.67, 1217
2.68, 1080
2.69, 1048
2.70, 957
2.71, 934
2.72, 939
2.73, 903
2.74, 890
2.75, 876
2.76, 893
2.77, 923
2.78, 956
2.79, 897
2.80, 1000
2.81, 990
2.82, 1027
2.83, 1003
2.84, 970
2.85, 976
2.86, 993
2.87, 1084
2.88, 1233
2.89, 1550
2.90, 2038
2.91, 2746
2.92, 3759
2.93, 5148
2.94, 6869
2.95, 8669
2.96, 10305
2.97, 11815
2.98, 12819
2.99, 13057
3.00, 12695
3.01, 11340
3.02, 9775
3.03, 8062
3.04, 6440
3.05, 4909
3.06, 3915
3.07, 3274
3.08, 2916
3.09, 2879
3.10, 3138
3.11, 3677
3.12, 4324
3.13, 4910
3.14, 5287
3.15, 5753
3.16, 5859
3.17, 5766
3.18, 5204
3.19, 4661
3.20, 4088
3.21, 3554
3.22, 3031
3.23, 2810
3.24, 2562
3.25, 2148
3.26, 1918
3.27, 1838
3.28, 1758
3.29, 1749
3.30, 1717
3.31, 1784
3.32, 1930
3.33, 1952
3.34, 2086
3.35, 2277
3.36, 2525
3.37, 2842
3.38, 3219
3.39, 3646
3.40, 4146
3.41, 4821
3.42, 5202
3.43, 5642
3.44, 5903
3.45, 6051
3.46, 5776
3.47, 5275
3.48, 4692
3.49, 3982
3.50, 3412
3.51, 2730
3.52, 2227
3.53, 1750
3.54, 1489
3.55, 1261
3.56, 1145
3.57, 1107
3.58, 1114
3.59, 1175
3.60, 1395
3.61, 1531
3.62, 1849
3.63, 2030
3.64, 2358
3.65, 2653
3.66, 2760
3.67, 2856
3.68, 2837
3.69, 2642
3.70, 2505
3.71, 2395
3.72, 2206
3.73, 1995
3.74, 1726
3.75, 1532
3.76, 1402
3.77, 1278
3.78, 1157
3.79, 1124
3.80, 1034
3.81, 896
3.82, 821
3.83, 826
3.84, 853
3.85, 926
3.86, 977
3.87, 1000
3.88, 1068
3.89, 1093
3.90, 1197
3.91, 1150
3.92, 1109
3.93, 1085
3.94, 979
3.95, 1012
3.96, 902
3.97, 794
3.98, 721
3.99, 611
4.00, 648
4.01, 589
4.02, 534
4.03, 558
4.04, 527
4.05, 515
4.06, 575
4.07, 577
4.08, 591
4.09, 641
4.10, 625
4.11, 680
4.12, 713
4.13, 664
4.14, 671
4.15, 719
4.16, 641
4.17, 642
4.18, 643
4.19, 614
4.20, 578
4.21, 515
4.22, 483
4.23, 482
4.24, 490
4.25, 479
4.26, 471
4.27, 464
4.28, 489
4.29, 502
4.30, 520
4.31, 492
4.32, 491
4.33, 495
4.34, 528
4.35, 543
4.36, 547
4.37, 550
4.38, 605
4.39, 526
4.40, 539
4.41, 534
4.42, 534
4.43, 532
4.44, 523
4.45, 499
4.46, 475
4.47, 450
4.48, 454
4.49, 436
4.50, 468
4.51, 455
4.52, 462
4.53, 461
4.54, 472
4.55, 444
4.56, 419
4.57, 423
4.58, 435
4.59, 477
4.60, 470
4.61, 481
4.62, 442
4.63, 436
4.64, 420
4.65, 452
4.66, 486
4.67, 436
4.68, 445
4.69, 452
4.70, 422
4.71, 434
4.72, 449
4.73, 418
4.74, 428
4.75, 434
4.76, 440
4.77, 472
4.78, 413
4.79, 426
4.80, 428
4.81, 420
4.82, 446
4.83, 429
4.84, 439
4.85, 424
4.86, 443
4.87, 431
4.88, 431
4.89, 430
4.90, 387
4.91, 446
4.92, 447
4.93, 422
4.94, 426
4.95, 441
4.96, 442
4.97, 411
4.98, 428
4.99, 430
5.00, 421
5.01, 391
5.02, 439
5.03, 433
5.04, 460
5.05, 413
5.06, 418
5.07, 403
5.08, 420
5.09, 415
5.10, 368
5.11, 385
5.12, 403
5.13, 437
5.14, 419
5.15, 414
5.16, 419
5.17, 461
5.18, 449
5.19, 425
5.20, 455
5.21, 449
5.22, 417
5.23, 395
5.24, 395
5.25, 409
5.26, 404
5.27, 423
5.28, 395
5.29, 393
5.30, 395
5.31, 420
5.32, 437
5.33, 387
5.34, 365
5.35, 400
5.36, 416
5.37, 383
5.38, 408
5.39, 405
5.40, 413
5.41, 386
5.42, 401
5.43, 379
5.44, 398
5.45, 423
5.46, 390
5.47, 393
5.48, 390
5.49, 385
5.50, 400
5.51, 405
5.52, 404
5.53, 376
5.54, 411
5.55, 411
5.56, 392
5.57, 396
5.58, 389
5.59, 355
5.60, 409
5.61, 377
5.62, 389
5.63, 426
5.64, 437
5.65, 408
5.66, 396
5.67, 389
5.68, 395
5.69, 360
5.70, 395
5.71, 405
5.72, 399
5.73, 374
5.74, 387
5.75, 373
5.76, 390
5.77, 428
5.78, 403
5.79, 399
5.80, 403
5.81, 365
5.82, 366
5.83, 350
5.84, 373
5.85, 370
5.86, 404
5.87, 400
5.88, 417
5.89, 377
5.90, 411
5.91, 383
5.92, 372
5.93, 394
5.94, 391
5.95, 343
5.96, 392
5.97, 388
5.98, 381
5.99, 389
6.00, 373
6.01, 345
6.02, 353
6.03, 386
6.04, 390
6.05, 353
6.06, 351
6.07, 396
6.08, 373
6.09, 388
6.10, 378
6.11, 349
6.12, 352
6.13, 363
6.14, 351
6.15, 386
6.16, 366
6.17, 351
6.18, 364
6.19, 398
6.20, 351
6.21, 366
6.22, 363
6.23, 369
6.24, 355
6.25, 367
6.26, 338
6.27, 349
6.28, 337
6.29, 359
6.30, 354
6.31, 383
6.32, 399
6.33, 407
6.34, 359
6.35, 359
6.36, 351
6.37, 351
6.38, 351
6.39, 369
6.40, 361
6.41, 363
6.42, 370
6.43, 346
6.44, 364
6.45, 352
6.46, 345
6.47, 333
6.48, 342
6.49, 345
6.50, 342
6.51, 335
6.52, 345
6.53, 350
6.54, 338
6.55, 375
6.56, 338
6.57, 322
6.58, 333
6.59, 318
6.60, 334
6.61, 332
6.62, 340
6.63, 355
6.64, 313
6.65, 336
6.66, 332
6.67, 337
6.68, 327
6.69, 299
6.70, 320
6.71, 323
6.72, 332
6.73, 300
6.74, 323
6.75, 356
6.76, 349
6.77, 334
6.78, 341
6.79, 306
6.80, 296
6.81, 302
6.82, 345
6.83, 315
6.84, 325
6.85, 312
6.86, 314
6.87, 311
6.88, 317
6.89, 311
6.90, 307
6.91, 345
6.92, 320
6.93, 314
6.94, 329
6.95, 351
6.96, 334
6.97, 306
6.98, 294
6.99, 322
7.00, 307
7.01, 301
7.02, 326
7.03, 308
7.04, 303
7.05, 279
7.06, 277
7.07, 320
7.08, 317
7.09, 316
7.10, 321
7.11, 291
7.12, 285
7.13, 304
7.14, 310
7.15, 312
7.16, 299
7.17, 310
7.18, 309
7.19, 343
7.20, 348
7.21, 291
7.22, 291
7.23, 315
7.24, 311
7.25, 323
7.26, 312
7.27, 319
7.28, 316
7.29, 355
7.30, 381
7.31, 385
7.32, 460
7.33, 522
7.34, 641
7.35, 764
7.36, 968
7.37, 1155
7.38, 1373
7.39, 1673
7.40, 2039
7.41, 2390
7.42, 2836
7.43, 3194
7.44, 3396
7.45, 3615
7.46, 3804
7.47, 3949
7.48, 3894
7.49, 3649
7.50, 3424
7.51, 3163
7.52, 2765
7.53, 2469
7.54, 2113
7.55, 1796
7.56, 1442
7.57, 1193
7.58, 959
7.59, 752
7.60, 607
7.61, 505
7.62, 462
7.63, 396
7.64, 341
7.65, 345
7.66, 321
7.67, 282
7.68, 298
7.69, 282
7.70, 292
7.71, 289
7.72, 303
7.73, 303
7.74, 288
7.75, 277
7.76, 266
7.77, 280
7.78, 281
7.79, 287
7.80, 259
7.81, 277
7.82, 279
7.83, 264
7.84, 258
7.85, 273
7.86, 260
7.87, 268
7.88, 245
7.89, 258
7.90, 272
7.91, 260
7.92, 272
7.93, 252
7.94, 261
7.95, 270
7.96, 285
7.97, 258
7.98, 251
7.99, 263
8.00, 243
8.01, 262
8.02, 270
8.03, 253
8.04, 267
8.05, 271
8.06, 282
8.07, 270
8.08, 261
8.09, 259
8.10, 275
8.11, 286
8.12, 297
8.13, 300
8.14, 363
8.15, 377
8.16, 374
8.17, 416
8.18, 470
8.19, 509
8.20, 556
8.21, 591
8.22, 674
8.23, 670
8.24, 671
8.25, 710
8.26, 668
8.27, 710
8.28, 720
8.29, 684
8.30, 625
8.31, 605
8.32, 549
8.33, 492
8.34, 464
8.35, 424
8.36, 338
8.37, 341
8.38, 295
8.39, 318
8.40, 274
8.41, 243
8.42, 246
8.43, 219
8.44, 214
8.45, 226
8.46, 231
8.47, 214
8.48, 215
8.49, 196
8.50, 222
8.51, 243
8.52, 240
8.53, 260
8.54, 284
8.55, 283
8.56, 339
8.57, 366
8.58, 354
8.59, 331
8.60, 366
8.61, 393
8.62, 372
8.63, 379
8.64, 399
8.65, 365
8.66, 399
8.67, 371
8.68, 345
8.69, 314
8.70, 307
8.71, 311
8.72, 267
8.73, 272
8.74, 246
8.75, 232
8.76, 238
8.77, 224
8.78, 211
8.79, 203
8.80, 196
8.81, 178
8.82, 173
8.83, 183
8.84, 183
8.85, 182
8.86, 197
8.87, 194
8.88, 208
8.89, 213
8.90, 186
8.91, 186
8.92, 205
8.93, 206
8.94, 194
8.95, 204
8.96, 196
8.97, 192
8.98, 194
8.99, 201
9.00, 190
9.01, 167
9.02, 188
9.03, 194
9.04, 187
9.05, 174
9.06, 199
9.07, 182
9.08, 177
9.09, 193
9.10, 204
9.11, 193
9.12, 183
9.13, 194
9.14, 193
9.15, 186
9.16, 170
9.17, 184
9.18, 189
9.19, 184
9.20, 178
9.21, 155
9.22, 171
9.23, 179
9.24, 192
9.25, 186
9.26, 181
9.27, 187
9.28, 166
9.29, 182
9.30, 179
9.31, 170
9.32, 172
9.33, 164
9.34, 169
9.35, 178
9.36, 178
9.37, 194
9.38, 192
9.39, 168
9.40, 155
9.41, 168
9.42, 183
9.43, 185
9.44, 169
9.45, 180
9.46, 178
9.47, 194
9.48, 167
9.49, 170
9.50, 189
9.51, 188
9.52, 180
9.53, 196
9.54, 180
9.55, 172
9.56, 191
9.57, 205
9.58, 207
9.59, 200
9.60, 200
9.61, 200
9.62, 170
9.63, 168
9.64, 167
9.65, 164
9.66, 170
9.67, 176
9.68, 201
9.69, 190
9.70, 160
9.71, 149
9.72, 152
9.73, 163
9.74, 170
9.75, 160
9.76, 146
9.77, 146
9.78, 133
9.79, 132
9.80, 157
9.81, 162
9.82, 169
9.83, 163
9.84, 162
9.85, 168
9.86, 143
9.87, 140
9.88, 158
9.89, 156
9.90, 155
9.91, 139
9.92, 157
9.93, 147
9.94, 153
9.95, 154
9.96, 152
9.97, 148
9.98, 149
9.99, 138
10.00, 130
10.01, 155
10.02, 144
10.03, 117
10.04, 126
10.05, 129
10.06, 144
10.07, 142
10.08, 138
10.09, 134
10.10, 152
10.11, 142
10.12, 132
10.13, 162
10.14, 148
10.15, 142
10.16, 144
10.17, 124
10.18, 133
10.19, 131
10.20, 143
10.21, 149
10.22, 151
10.23, 145
10.24, 141
10.25, 155
10.26, 159
10.27, 136
10.28, 132
10.29, 126
10.30, 144
10.31, 134
10.32, 127
10.33, 128
10.34, 119
10.35, 121
10.36, 140
10.37, 132
10.38, 111
10.39, 120
10.40, 122
10.41, 156
10.42, 124
10.43, 126
10.44, 117
10.45, 118
10.46, 159
10.47, 164
10.48, 140
10.49, 116
10.50, 120
10.51, 125
10.52, 130
10.53, 128
10.54, 127
10.55, 125
10.56, 132
10.57, 137
10.58, 145
10.59, 151
10.60, 131
10.61, 132
